Time,Id,Question,Answer
"Feb 17, 2025 @ 09:51:56.547",AHT,rédige un paragraphe concernant la PERTINENCE DU SYSTEME MANAGEMENT DES RISQUES OPERATIONNELS LIES A LA SST ET A L’ENVIRONNEMENT chez thales services numériques,"La pertinence du système de management des risques opérationnels liés à la santé et sécurité au travail (SST) et à l’environnement chez Thales Services Numériques est cruciale pour garantir la continuité et la résilience de ses opérations. En intégrant des procédures rigoureuses et des normes élevées de prévention, ce système permet de minimiser les incidents qui pourraient non seulement mettre en danger la sécurité des employés, mais aussi entraîner des répercussions environnementales négatives. En outre, une gestion efficace des risques opérationnels contribue à la conformité réglementaire, à la réduction des coûts associés aux accidents et aux incidents environnementaux, et à l'amélioration de la réputation de l'entreprise auprès des parties prenantes. Enfin, en favorisant une culture de la sécurité et de la responsabilité environnementale, Thales Services Numériques peut non seulement protéger ses actifs humains et naturels, mais également renforcer sa position de leader dans l'innovation technologique et les services numériques."
"Feb 17, 2025 @ 09:52:33.822",AHT,plus synthétique,"Le système de management des risques opérationnels liés à la santé et sécurité au travail (SST) et à l’environnement chez Thales Services Numériques est essentiel pour assurer la continuité et la résilience des opérations. En intégrant des procédures rigoureuses de prévention, ce système réduit les incidents, protège les employés et l’environnement, et assure la conformité réglementaire. Il contribue également à la réduction des coûts liés aux accidents et à l’amélioration de la réputation de l’entreprise. En cultivant une culture de sécurité et de responsabilité environnementale, Thales renforce sa position de leader technologique et en services numériques."
"Feb 17, 2025 @ 09:53:44.753",AHT,écris un paragraphe concernant l'ORGANISATION QUALITE DONT les processus de VERIFICATION chez thales services numériques,"Chez Thales Services Numériques, l'organisation qualité est structurée autour de processus de vérification rigoureux, inspirés des meilleures pratiques et normes internationales telles qu'ISO 9001 et ITIL. Ces processus sont conçus pour garantir la conformité, l'efficience et la fiabilité des services fournis. La vérification inclut des audits internes réguliers, des contrôles de qualité systématiques et l'utilisation de Key Performance Indicators (KPI) pour mesurer et améliorer continuellement la performance. Chaque processus est supervisé par des gestionnaires certifiés qui s'assurent de l'application des bonnes pratiques et de l'atteinte des standards de qualité élevés. Cette organisation permet à Thales de maintenir un haut niveau de maîtrise sur l'ensemble des processus de gestion, assurant ainsi une satisfaction client optimale et une excellence opérationnelle continue."
"Feb 17, 2025 @ 09:54:08.739",AHT,plus synthétique,"Chez Thales Services Numériques, l'organisation qualité repose sur des processus de vérification rigoureux, alignés sur des normes internationales telles qu'ISO 9001. Ces processus incluent des audits internes réguliers, des contrôles de qualité systématiques et l'utilisation d'indicateurs de performance (KPI) pour assurer la conformité et l'efficience des services. Supervisés par des gestionnaires certifiés, ces mécanismes garantissent l'application des meilleures pratiques et l'atteinte de standards de qualité élevés, assurant ainsi une satisfaction client optimale et une excellence opérationnelle continue."
"Feb 17, 2025 @ 09:57:13.520",AHT,de quelle manière thales services numériques gère ses sous-traitants?,"Thales Services Numériques gère ses sous-traitants de manière rigoureuse et structurée. L'entreprise collabore régulièrement avec des partenaires sous-traitants sur ses projets, en mettant l'accent sur la qualité et la conformité des prestations fournies. Thales porte une attention particulière au taux de sous-traitance sur le marché et vise à internaliser les ressources apportées par des tiers lorsque cela est possible. Pour intégrer des travailleurs indépendants ou des petites PME non référencées, Thales utilise également des sociétés de portage, apportant ainsi souplesse et diversité à son dispositif organisationnel. Cette gestion permet à Thales de maintenir un haut niveau de compétence et de réactivité tout en assurant la qualité et la sécurité des services fournis à ses clients."
"Feb 17, 2025 @ 09:57:32.111",AHT,de quelle manière thales services numériques supervise ses sous-traitants?,"Thales Services Numériques supervise ses sous-traitants à travers un cadre de gestion rigoureux et structuré pour garantir la qualité et la conformité des prestations fournies. Cette supervision inclut des audits réguliers pour évaluer les performances, la conformité aux normes et la satisfaction des exigences contractuelles. Thales met en place des indicateurs de performance clés (KPI) pour suivre et mesurer l'efficacité des sous-traitants. En outre, l'entreprise favorise une communication continue et transparente avec ses partenaires, assurant ainsi une meilleure coordination et résolution rapide des problèmes éventuels. Ce cadre de supervision permet à Thales de maintenir un haut niveau de compétence, de réactivité et de qualité dans ses collaborations avec les sous-traitants."
"Feb 17, 2025 @ 09:58:20.291",AHT,plus détaillé,"Thales Services Numériques supervise ses sous-traitants à travers un processus de gestion structuré et détaillé pour garantir la qualité, la conformité et la performance des prestations fournies. Voici comment cette supervision est organisée : 1. **Sélection Rigoureuse** : Le processus commence par une sélection rigoureuse des sous-traitants, basée sur des critères stricts de qualité, de fiabilité et de conformité aux normes industrielles et réglementaires. Thales évalue les capacités techniques, les références passées et la stabilité financière des candidats. 2. **Contrats et Accords Clairs** : Des contrats détaillés et des accords de niveau de service (SLA) sont établis pour définir clairement les attentes, les responsabilités, les normes de qualité et les délais. Ces documents servent de base pour toute la relation de sous-traitance. 3. **Audits et Évaluations Réguliers** : Thales effectue des audits réguliers pour évaluer la performance des sous-traitants. Ces audits peuvent inclure des inspections sur site, des vérifications de conformité aux normes de sécurité et de qualité, et des évaluations de la performance opérationnelle. 4. **Indicateurs de Performance Clés (KPI)** : Des KPI sont définis pour mesurer et suivre les performances des sous-traitants. Ces indicateurs peuvent inclure des mesures de qualité, de respect des délais, de coûts, et de satisfaction des clients finaux. Les KPI permettent de détecter rapidement toute déviation par rapport aux objectifs fixés. 5. **Réunions de Suivi et Revues de Performance** : Thales organise des réunions de suivi régulières avec les sous-traitants pour discuter des performances, des défis rencontrés et des améliorations potentielles. Ces réunions permettent de maintenir une communication ouverte et transparente, favorisant une collaboration efficace. 6. **Plans d'Amélioration Continue** : En cas de non-conformité ou de performance insuffisante, Thales met en place des plans d'action correctifs avec les sous-traitants. Ces plans incluent des objectifs d'amélioration spécifiques, des échéances et des responsabilités claires. 7. **Formation et Support** : Thales offre également des programmes de formation et du support technique à ses sous-traitants pour les aider à comprendre et à respecter les standards de l'entreprise. Cela inclut la formation en matière de sécurité, de qualité, et de conformité réglementaire. 8. **Gestion des Risques** : Une évaluation des risques spécifiques à chaque sous-traitant est réalisée pour identifier les points critiques et mettre en place des mesures de mitigation. Cela permet de prévoir et de gérer les risques potentiels qui pourraient impacter les opérations. 9. **Feedback et Amélioration Continue** : Thales sollicite régulièrement des feedbacks de la part des sous-traitants et des clients internes pour identifier les opportunités d'amélioration. Ce processus de rétroaction continue aide à affiner les pratiques de gestion et à renforcer les relations de partenariat. Cette approche globale et détaillée permet à Thales Services Numériques de s'assurer que ses sous-traitants respectent les normes élevées de l'entreprise, tout en maintenant une collaboration productive et mutuellement bénéfique."
"Feb 17, 2025 @ 09:59:47.281",AHT,rédiges un paragraphe sur l'ETHIQUE ET la CONFORMITE chez thales services numériques,"Chez Thales Services Numériques, l'éthique et la conformité sont des piliers fondamentaux de la culture d'entreprise et du fonctionnement quotidien. Thales adhère au Pacte mondial des Nations Unies depuis 2003, s'engageant à respecter les droits de l'homme, les droits du travail, la protection de l'environnement et la lutte contre la corruption. Le Code d'Éthique de Thales établit des règles de comportement strictes applicables à tous les collaborateurs, ainsi qu'aux relations avec les clients, fournisseurs, sous-traitants et partenaires. Ces règles assurent une conduite transparente, responsable et respectueuse des législations nationales et internationales. Thales met en œuvre des programmes de formation et de sensibilisation pour garantir que toutes les parties prenantes comprennent et respectent les exigences éthiques et de conformité. En outre, des audits réguliers et des mécanismes de contrôle internes sont en place pour surveiller la conformité et prendre des actions correctives si nécessaire. Cette rigueur en matière d'éthique et de conformité permet à Thales Services Numériques de maintenir la confiance de ses clients et partenaires, tout en contribuant à un environnement de travail intègre et responsable."
"Feb 17, 2025 @ 10:00:36.878",AHT,plus synthétique,"Chez Thales Services Numériques, l'éthique et la conformité sont des principes fondamentaux intégrés dans toutes les activités de l'entreprise. Adhérant au Pacte mondial des Nations Unies, Thales s'engage à respecter les droits de l'homme, les droits du travail, la protection de l'environnement et à lutter contre la corruption. Le Code d'Éthique de Thales définit des règles strictes pour tous les collaborateurs et partenaires, garantissant une conduite transparente et responsable. Des programmes de formation, des audits réguliers et des mécanismes de contrôle sont en place pour assurer le respect de ces normes. Cette approche rigoureuse renforce la confiance des clients et partenaires, tout en promouvant un environnement de travail intègre et éthique."
"Feb 17, 2025 @ 10:17:02.708",CCY,"Je souhaite rédiger un devis contenant l'ensemble des éléments suivants : Redondance Lot R1 Améliorer la redondance d'Oracle Database : Oracle Database : Redondance Passer la database en réplication Active Dataguard, Redondance Configurer les Clients JDBC pour basculer sur l’instance secondaire de manière automatique (sans intervention humaine), Redondance Modifier les procédures de management database Oracle Redondance Reporter les modifications Oracle Database sur tous les environnements isoprod Redondance Lot R6 Améliorer la chaine de redondance Web & Web socket : F5 / HA Proxy / Apache Redondance Améliorer la redondance de la chaine web, notamment la bascule sans impact des nœuds En cas de redémarrage le nœud leader : l’ancien nœud leader ne parvient pas à revenir dans le clusterI1 F5 BigIP Redondance Séparer les virtual servers des web sockets et du portail Redondance Configurer les virtual servers avec un mode de redondance fonctionnel Redondance Lot R7 Améliorer la redondance de Hazelcast Hazelcast : Redondance Améliorer la redondance de Hazelcast et rendre la taille du cluster hazelcast indépendant de la taille du cluster Sessions server Modifier le code du session server pour prendre en compte ce cluster Redondance Ajouter les VMs correspondantes Redondance Rédiger les procédures de management associées Redondance Lot R8 Améliorer la redondance de Redhat SSO Redhat SSO RedhatSSO n'est pas en actif/actif, la version est obsolète, : pas lié à architecture distribuée. La montée de version + le passage en actif/actif devrait répondre aux besoins de performances Redondance Améliorer la redondance de Redhat SSO : passage en actif/actif Montér la version de Redhat SSO pour disposer d'une version scalable Redondance Rédiger les procédures de management associées Redondance Lot R9 Ajouter des tests de validation de la redondance Revoir les procédures de stop/start de chaque nœud de chaque cluster Pour les Apache, pour déployer plus rapidement. Attendu : les environnements de tests doivent être disponibles Redondance Faire un statut sur l’ensemble du périmètre redondé Exclure la GED Redondance Tester le stop/pause/start de tous les composants sans impact sur le service rendu aux utilisateurs Redondance Clarifier l’objectif de « sans impact sur le service rendu aux utilisateurs » Redondance Mesurer cet impact Redondance Dérouler les tests de stop / pause / start Redondance Corriger les défauts observés Redondance Lot R10 Robustifier les mécanismes de redondance Tester les solutions de protection qui auraient dû protéger le fonctionnement du système lors d'occurrence des incidents générant le mode dégradé Redondance Inclure un redémarrage périodique (ex : hebdomadaire) pour tous les composants critiques de la solution. Cf procédures de restart Représentativité des env Lot E1 Diminuer les différences de design entre environnement Suppression autant que possible des différences de design entre environnement Favorisera l'accélération des changes, mode design to cost Représentativité des env Définir une version uniforme sur les environnements Discuter avec le Client Représentativité des env Réduire les différences qui rendent l’analyse d’impact complexe, longue, et provoque des actions erronées (ex : RFT2 sans portail .fr) Représentativité des env Outiller la réconciliation de connaissance et de partage d’information des différences (mode CMDB modélisée) Option ? Représentativité des env Simplifier le processus de mise à jour dans le but que les versions soient identiques sur le plus grand nombre d'environnements Représentativité des env Création de 2 classes de représentativité : isoprod et build, et allocation des environnements existant dans ces 2 classes Représentativité des env Description des impacts des différences qui subsistent Représentativité des env Lot E2 Améliorer la représentativité des environnements (configuration) Améliorer la représentativité d'un point de vue configuration des environnements Mode design to cost Représentativité des env Configurer 20 CRRA sur tous les environnements isoprod non PROD Impliquer OB, ANS, fichiers de configuration, licences Représentativité des env Diminuer les opérations manuelles lors des opérations de déploiement pour diminuer les différences entre environnement qui proviennent d'une erreur de déploiement manuel Représentativité des env Outiller la CMDB en modélisant les différences entre environnements et la génération des configurations Bande passante de l'équipe modélisation CMDB limitée, délais importants de mise à jour => limiter le périmètre de modélisation CMDB aux zones Représentativité des env Lot E3 Améliorer la représentativité des environnements (usage) Améliorer la représentativité d'un point de vue sollicitation (usage) des environnements Chantier orthogonal et facile à démarrer, et avec un gain rapide et significatif pour les prochains CRRA Représentativité des env Utiliser la capacité des tests Auto Robot Framework portail pour implémenter une charge : identifier les cas d'usage, implémenter, tester, déployer. Les tirs de charge sur RFT2 ne concernent que les appels : il faut l’étendre aux actions sur le portail, avec une multiplicité des agents Améliore le patch management et donc la mise à jour des composants obsolètes Représentativité des env Connecter les VM simulant les postes de travail vers le portail .net en plus du .fr (VM, F5, OPNSense, DNS, Flux…) Représentativité des env Libérer des créneaux d’utilisation des plateformes pour que les tests puissent être réalisés sur les plannings nécessaires Echanges avec l'ANS Outillage de validation Lot V2 Ajouter des tests de charge Tests actuels : sollicitation ponctuelle et planifiée de la pondeuse d'appels d'Orange qui fait des appels en continu Outillage de validation Adapter les tests fonctionnels pour en générer des tests en charge (contexte des CRRA, …) Exécuter les tests 24/7 Outillage de validation Utiliser les outils de benchmarks des technologies logicielles (non contextualisée projet) utilisées dans la solution : Oracle Database, MySQL, Cassandra, Apache HTTP Server, HA Proxy, Tomcat, ActiveMQ, Redis… Architecture distribuée Lot D1 Définir et étudier les notions de zone, de sous-zone et de partie commune Architecture distribuée Architecture : Définir les principales chaines fonctionnelles et les composants associés pour identifier les contraintes de dépendance. Note : les services stratégiques et services importants sont ségrégués. : la définition des chaines fonctionnelles matchent très probablement avec cette isolation Architecture distribuée Proposer un découpage d'allocation de composant fonctionnel sur les zones, sous-zones, commun (+ revue client) Architecture distribuée Lot D2 Etudier les impacts sur les technos Architecture distribuée Identifier les critères d'allocation des technologies logicielles et composants systèmes pour choisir son allocation taille, sécurité, opérabilité, SLA, contrat, evolutivité, flux métier, activité de l'agent… Architecture distribuée Evaluer les technologies logicielles et composants systèmes vis-à-vis de ces critères Architecture distribuée Analyser l'étude Scalabilité et décider quels autres composants on prend en compte Architecture distribuée Analyser les adhérences entre l'ORS et le session server pour déterminer les contraintes Architecture distribuée Résilience/redondance : quels composants doit-on redonder (Nb de composants >=2) ? Quels composants doit-on passer en actif/actif ou actif/hot stand-by (et non actif / passif avec délai de bascule ne permettant pas une bascule sans impact sur le service rendu) Architecture distribuée Résilience/robustesse : quels composants fiabiliser (car ils tombent trop souvent) : quel est l’objectif de durabilité sans panne unitaire d’un composant ? Les objectifs sont-ils multiples (car différenciés en fonction des composants) ? Quels composants ne sont pas à l’objectif  (état des lieux par rapport aux incidents, problèmes et tests ?) Architecture distribuée Scalabilité : quel est l’objectif de scalabilité 2025 ? 2026-2028 ? Quels composants faut-il porter à l’échelle ? La solution architecture distribuée est-elle une alternative à la montée en scalabilité unitaire des composants ? Architecture distribuée Dérisker (par maquettage) les technologies partagées : Oracle Database Multitenant, MySQL multi-instance, Cassandra, Redis, Active MQ (topics), Multiples instances de Session Server, Genesys (T-Server, ORS, URS, NTS, Config Server, UI Server), Apache, HA_Proxy, F5 : est-ce que l'isolation est compatible avec l'attendu d'isolation des zones entre elles ? Besoin de Ceritek pour la partie Genesys Architecture distribuée Identifier s'il y a un risque d'atteindre la limite de 1Gbps sur le F5 (ce qui contraindrait à partager les services du F5) Architecture distribuée Identifier les autres composants qui limitent la charge. Architecture distribuée Lot D3 Décider le desgin (quels composants en zone) Architecture distribuée Analyser la sécurité de l'impact de l'architecture distribuée sur le système Besoin de Thales TCS sous la responsabilité du RSP Architecture distribuée Prendre en compte l'impact sur les licences (en particulier RHEL) (exclure Genesys) Architecture distribuée Définir le dimensionnement : Déterminer le nombre de zones de la preprod : identique à la prod ? Architecture distribuée Définir le dimensionnement : déterminer la topologie en nombre de VMs Mise à jour documentaire Architecture distribuée Définir le dimensionnement : allocation de ressources IT (hyperviseurs, VMs, stockage, réseau) Architecture distribuée Modifier le SLA : adapter l'engagement de niveau de service aux zones pleines ou vides, SLA des environnements de tests Prioriser la qualification versus le SLA de preprod : Contraintes de l'utilisation de la préprod sur son SLA versus la reproductibilité des actions de change avant mise en prod Architecture distribuée Configurer l'application Session server de manière à distinguer les plages d’identifiants utilisateurs SAMU ID-SI-SAMU par zone, par sous-zone et par environnement. Architecture distribuée Lot D4 Développer les modifications sur les composants Architecture distribuée Prendre en compte l'impact de l'architecture distribuée sur l'outillage CICD Architecture distribuée Mettre à jour l'outillage de déploiement par zone et sous-zone Architecture distribuée Adapter les sondes applicatives existantes au mécanisme de zone/sous-zone, consolider le résultat dans la supervision Architecture distribuée Augmenter la scalabilité verticale des composants communs de la chaine Web (ex : F5, HA Proxy Front, Apache, HA Proxy Middle) Architecture distribuée Ajouter des fonctionnalités applicatives (liées à la distribution) aux composants communs de la chaine Web (ex : F5, HA Proxy Front, Apache, HA Proxy Middle) Virtual servers par zone, … Architecture distribuée Ajout d'un dispatcher (en plus d'Apache) : pour l'interaction entre les composants mutualisés et les composants distribués. Risque à inclure Architecture distribuée Adapter les LRM à une architecture distribuée : liens avec les postes de travail, les zones… Architecture distribuée Lot D5 Développer l'outillage de gestion des zones Architecture distribuée Mettre en place un outillage de déplacement de CRRA d'une sous-zone à une autre, avec la bonne qualité (transitions compatibles avec le SLA) Permet d'allouer toutes les actions destructives sur le SI aux zones préalablement vidées Architecture distribuée Adapter la supervision de manière à ce qu'un arrêt de service d'une zone vidée ne génère pas d'incident : à automatiser Composant supplémentaire pour la supervision Architecture distribuée Analyser l'impact sur les VMs stateful d'une bascule d'un ou n CRRA d'une zone à une autre zone tests de derisking à réaliser Architecture distribuée Lot D6 Développer l'infrastructure et les services IT des zones Architecture distribuée Outiller le déploiement d'une zone Architecture distribuée Ajouter 2 environnements dédiés au build de l'architecture distribuée : QLF2 et QLF3 : utilisés pour mettre au point l'infra as code, à l'aide de terraform… Impact sur le nombre de VMs, le nombre d'hyperviseurs, les licences, interaction avec Cloud Temple, ajout d'ESX Architecture distribuée Déploiement : prise en compte de la duplication d'inventaire par zone ou la gestion de plusieurs versions des playbooks ansible, par zone Architecture distribuée Mettre en œuvre les adaptations de l'infra IT : nouveau plan DNS, réseau/VLAN, routage, filtrage, nommage des composants, certificats, clés Architecture distribuée Définir les axes d'isolation et implémenter des solutions d'isolation entre zones. Bon point : une architecture distribuée bien isolée permet d'effectuer un patch management / gestion de changement sans impact sur chaque partition / zone Architecture distribuée Lot D7 Tester l'infrastructure des zones vides Architecture distribuée Tester les déploiements from scratch sur inventaire éprouvé pour être capables de déployer les nouvelles VMs des nouvelles zones de manière efficace et déterministe Architecture distribuée Mettre en place une registry (mapping CRRA-zone) et mettre à jour la registry avec la localisation des CRRA par zone Architecture distribuée Lot D8 Tester les composants applicatifs Architecture distribuée Tester que les composants hébergés dans une zone rendent le service applicatif conformément à l'attendu Architecture distribuée Tester que les composants communs impactés par l'architecture distribuée rendent le service applicatif conformément à l'attendu Architecture distribuée Tester l'outillage de déplacement entre zones, et mesurer l'impact sur le niveau de service Architecture distribuée Lot D9 Tester les NFR (Non functional Requests) Architecture distribuée Tester les performances d'une zone Besoin d'Orange pour une pondeuse d'appels Architecture distribuée Tester les performances des composants communs Besoin d'Orange pour une pondeuse d'appels Architecture distribuée Tester les bascules de cluster en inter-zone et inter sous-zone Architecture distribuée Tester la sécurité des zones via des tests d'intrusion Besoin de Thales TCS sous la responsabilité du RSP Architecture distribuée Tester l'endurance/durabilité unitaire : tests de plusieurs (2) jours avec pondeuse d'appels Architecture distribuée Définir et tester un objectif d'endurance/durabilité de fonctionnement sans panne unitaire Architecture distribuée Lot D10 Mettre au point les procédures de run de gestion des zones Architecture distribuée Modifier les procédures de déploiement d'un changement, d'un patch, d'un bug fix, d'une nouvelle version Architecture distribuée Mettre en place une gestion de versions dans les repositories des 3 plateformes/tenant et une synchronisation des repo entre tenant. Ajouter la gestion des capsules Architecture distribuée Lot D11 Déployer les zones isoprod et build Architecture distribuée Déployer les zones d'infrastruture sur toutes les plateformes de build 10 zones ? Architecture distribuée Déployer les applications dans les zones de toutes les plateformes de build Architecture distribuée Tester le bon fonctionnement des zones sur les plateformes de build Architecture distribuée Déployer les zones d'infrastruture sur toutes les plateformes isoprod Architecture distribuée Déployer les applications dans les zones de toutes les plateformes isoprod Architecture distribuée Tester le bon fonctionnement des zones sur les plateformes isoprod Architecture distribuée Lot D12 Allouer les CRRA existants sur les zones ciblées Architecture distribuée Nettoyer l'infrastructure lorsque les zones cibles seront déployées (décommisionnement) Est-ce que la zone par défaut (actuelle) subsiste ou bien la supprime-t-on ? ","Voici le devis détaillé contenant l'ensemble des éléments demandés : --- **Devis pour l'Amélioration de la Redondance et la Représentativité des Environnements** **Client :** [Nom du Client] **Date :** [Date] --- ### Lot R1 : Améliorer la redondance d'Oracle Database - **Oracle Database :** - Passer la database en réplication Active Dataguard. - Configurer les Clients JDBC pour basculer sur l’instance secondaire de manière automatique (sans intervention humaine). - Modifier les procédures de management database Oracle. - Reporter les modifications Oracle Database sur tous les environnements isoprod. ### Lot R6 : Améliorer la chaîne de redondance Web & Web socket - **F5 / HA Proxy / Apache :** - Améliorer la redondance de la chaîne web, notamment la bascule sans impact des nœuds. - Séparer les virtual servers des web sockets et du portail. - Configurer les virtual servers avec un mode de redondance fonctionnel. ### Lot R7 : Améliorer la redondance de Hazelcast - **Hazelcast :** - Améliorer la redondance de Hazelcast et rendre la taille du cluster Hazelcast indépendant de la taille du cluster Sessions server. - Modifier le code du session server pour prendre en compte ce cluster. - Ajouter les VMs correspondantes. - Rédiger les procédures de management associées. ### Lot R8 : Améliorer la redondance de Redhat SSO - **Redhat SSO :** - Améliorer la redondance de Redhat SSO : passage en actif/actif. - Monter la version de Redhat SSO pour disposer d'une version scalable. - Rédiger les procédures de management associées. ### Lot R9 : Ajouter des tests de validation de la redondance - Revoir les procédures de stop/start de chaque nœud de chaque cluster. - Faire un statut sur l’ensemble du périmètre redondé (exclure la GED). - Tester le stop/pause/start de tous les composants sans impact sur le service rendu aux utilisateurs. - Clarifier l’objectif de « sans impact sur le service rendu aux utilisateurs ». - Mesurer cet impact. - Dérouler les tests de stop/pause/start. - Corriger les défauts observés. ### Lot R10 : Robustifier les mécanismes de redondance - Tester les solutions de protection qui auraient dû protéger le fonctionnement du système lors d'occurrence des incidents générant le mode dégradé. - Inclure un redémarrage périodique (ex : hebdomadaire) pour tous les composants critiques de la solution. Cf procédures de restart. ### Lot E1 : Diminuer les différences de design entre environnement - Suppression autant que possible des différences de design entre environnement. - Définir une version uniforme sur les environnements. - Réduire les différences qui rendent l’analyse d’impact complexe, longue, et provoquent des actions erronées (ex : RFT2 sans portail .fr). - Outiller la réconciliation de connaissance et de partage d’information des différences (mode CMDB modélisée) [Option]. - Simplifier le processus de mise à jour pour que les versions soient identiques sur le plus grand nombre d'environnements. - Création de 2 classes de représentativité : isoprod et build, et allocation des environnements existants dans ces 2 classes. - Description des impacts des différences qui subsistent. ### Lot E2 : Améliorer la représentativité des environnements (configuration) - Améliorer la représentativité d'un point de vue configuration des environnements. - Configurer 20 CRRA sur tous les environnements isoprod non PROD. - Diminuer les opérations manuelles lors des opérations de déploiement pour diminuer les différences entre environnement qui proviennent d'une erreur de déploiement manuel. - Outiller la CMDB en modélisant les différences entre environnements et la génération des configurations. ### Lot E3 : Améliorer la représentativité des environnements (usage) - Améliorer la représentativité d'un point de vue sollicitation (usage) des environnements. - Utiliser la capacité des tests Auto Robot Framework portail pour implémenter une charge : identifier les cas d'usage, implémenter, tester, déployer. - Connecter les VM simulant les postes de travail vers le portail .net en plus du .fr (VM, F5, OPNSense, DNS, Flux…). - Libérer des créneaux d’utilisation des plateformes pour que les tests puissent être réalisés sur les plannings nécessaires. ### Lot V2 : Ajouter des tests de charge - Adapter les tests fonctionnels pour en générer des tests en charge (contexte des CRRA, …). - Utiliser les outils de benchmarks des technologies logicielles utilisés dans la solution : Oracle Database, MySQL, Cassandra, Apache HTTP Server, HA Proxy, Tomcat, ActiveMQ, Redis, etc. ### Lot D1 : Définir et étudier les notions de zone, de sous-zone et de partie commune - Définir les principales chaînes fonctionnelles et les composants associés pour identifier les contraintes de dépendance. - Proposer un découpage d'allocation de composant fonctionnel sur les zones, sous-zones, commun (+ revue client). ### Lot D2 : Étudier les impacts sur les technologies - Identifier les critères d'allocation des technologies logicielles et composants systèmes pour choisir son allocation. - Évaluer les technologies logicielles et composants systèmes vis-à-vis de ces critères. - Analyser l'étude Scalabilité et décider quels autres composants à prendre en compte. - Analyser les adhérences entre l'ORS et le session server pour déterminer les contraintes. - Résilience/redondance : déterminer quels composants redonder, passer en actif/actif ou actif/hot stand-by. - Résilience/robustesse : fiabiliser les composants en fonction des objectifs de durabilité sans panne unitaire. - Scalabilité : définir les objectifs de scalabilité pour les prochaines années. - Dérisker les technologies partagées par maquettage. - Identifier les composants limitant la charge. ### Lot D3 : Décider le design (quels composants en zone) - Analyser la sécurité de l'impact de l'architecture distribuée sur le système. - Prendre en compte l'impact sur les licences (exclure Genesys). - Définir le dimensionnement des zones de la preprod. - Déterminer la topologie en nombre de VMs. - Définir l'allocation de ressources IT (hyperviseurs, VMs, stockage, réseau). - Modifier le SLA en fonction des zones pleines ou vides. ### Lot D4 : Développer les modifications sur les composants - Prendre en compte l'impact de l'architecture distribuée sur l'outillage CICD. - Mettre à jour l'outillage de déploiement par zone et sous-zone. - Adapter les sondes applicatives au mécanisme de zone/sous-zone. - Augmenter la scalabilité verticale des composants communs de la chaîne Web. - Ajouter des fonctionnalités applicatives aux composants communs de la chaîne Web. - Ajouter un dispatcher pour l'interaction entre les composants mutualisés et les composants distribués. - Adapter les LRM à une architecture distribuée. ### Lot D5 : Développer l'outillage de gestion des zones - Mettre en place un outillage de déplacement de CRRA d'une sous-zone à une autre. - Adapter la supervision pour qu'un arrêt de service d'une zone vidée ne génère pas d'incident. - Analyser l'impact sur les VMs stateful d'une bascule d'un ou plusieurs CRRA d'une zone à une autre. ### Lot D6 : Développer l'infrastructure et les services IT des zones - Outiller le déploiement d'une zone. - Ajouter 2 environnements dédiés au build de l'architecture distribuée. - Prendre en compte la duplication d'inventaire par zone ou la gestion de plusieurs versions des playbooks Ansible. - Mettre en œuvre les adaptations de l'infrastructure IT. - Définir les axes d'isolation et implémenter des solutions d'isolation entre zones. ### Lot D7 : Tester l'infrastructure des zones vides - Tester les déploiements from scratch sur inventaire éprouvé. - Mettre en place une registry et mettre à jour la registry avec la localisation des CRRA par zone. ### Lot D8 : Tester les composants applicatifs - Tester que les composants hébergés dans une zone rendent le service applicatif conformément à l'attendu. - Tester que les composants communs impactés par l'architecture distribuée rendent le service applicatif conformément à l'attendu. - Tester l'outillage de déplacement entre zones et mesurer l'impact sur le niveau de service. ### Lot D9 : Tester les NFR (Non functional Requests) - Tester les performances d'une zone. - Tester les performances des composants communs. - Tester les bascules de cluster en inter-zone et inter sous-zone. - Tester la sécurité des zones via des tests d'intrusion. - Tester l'endurance/durabilité unitaire. ### Lot D10 : Mettre au point les procédures de run de gestion des zones - Modifier les procédures de déploiement d'un changement, d'un patch, d'un bug fix, d'une nouvelle version. - Mettre en place une gestion de versions dans les repositories des 3 plateformes/tenant et une synchronisation des repo entre tenant. ### Lot D11 : Déployer les zones isoprod et build - Déployer les zones d'infrastructure sur toutes les plateformes de build et isoprod. - Déployer les applications dans les zones de toutes les plateformes de build et isoprod. - Tester le bon fonctionnement des zones sur les plateformes de build et isoprod. ### Lot D12 : Allouer les CRRA existants sur les zones ciblées - Nettoyer l'infrastructure lorsque les zones cibles seront déployées. --- **Total estimé :** [Insérer le coût total ici] --- **Conditions générales :** - Les prix sont fermes et non révisables. - Les délais de livraison seront définis d'un commun accord avec le client. - Toute modification du périmètre des travaux pourra entraîner une révision du devis. Pour toute question ou information complémentaire, veuillez nous contacter à [Insérer les coordonnées de contact]. --- **Signature :** [Nom et fonction du signataire] **Date :** [Date] --- Cordialement, [Nom de votre entreprise] [Adresse de votre entreprise] [Coordonnées de contact] --- Veuillez ajuster les sections du devis en fonction des spécificités et des préférences de votre entreprise et du client."
