ID;heure_debut;heure_fin;messagerie;utilisation;entite;utilisation_frequence;tache1;tache2;tache3;tache4;taches_autres;modules_utilises;qualite_reponses;valeur_apportee;gain_temps;fonctionalites_attendues;frequence_utilisation;donnees_attendues;autres_IA
14;2/17/25 14:12:50;2/17/25 14:17:49;anonymous;Oui;Commerce;3;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;NA;;;;75% BidGPT (Chat)- 25% Paraphrase;Satisfaisante;Forte;Essentiel;References a jour pouvant être trouvees sur la base de mots cles.;De temps en temps ;Systeme documentaire offres du Groupe. Analyses sectorielles. Bench avec la concurrence (ESN).;ChatGPT,ThalesGPT,
15;2/17/25 14:11:39;2/17/25 14:24:06;anonymous;Oui;Commerce;3;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;50% BidGPT (Chat) - 50% Paraphrase;Satisfaisante;Forte;Moyen;Imager / Apporter plus de valeur dans les reponses (cas concrets,... Exemple : Quelles sont nos principales references en infogerance ? ....);Jamais;SWING, MyCV, ;ThalesGPT,BidGPT,
16;2/17/25 14:15:44;2/17/25 14:27:10;anonymous;Oui;Commerce;5;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);"Pour rechercher des informations relatives a nos metiers et clients ?;Autre (ex : presentations, etc…)";;;pour reformuler synthetiser et structurer des paragraphes de maniere plus elegante ;75% BidGPT (Chat)- 25% Paraphrase;Tres satisfaisante;Excellente;Essentiel;"Compte rendu en rendez vous, directement taper mes notes ou qu'il ecoute mes rendez-vous pour me proposer en parallele des elements pertinents, ou qu'il me fasse un compte rendu structure.
2) Qu'il me propose des elements auquel je n'aurais pas pense ";De temps en temps ;pouvoir directement integrer des offres, des documents specialise sur un sujet ou des CV pour que BidGPT puisse utiliser pour repondre aux questions que je vais lui poser, faire de la mise en forme de CV dans my CV avec un Template particulier ;BidGPT,ThalesGPT,
17;2/17/25 14:25:24;2/17/25 14:40:47;anonymous;Oui;Bid management;5;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;;100% BidGPT (Chat);Tres satisfaisante;Forte;Moyen;"Lien vers les documents de reference avec source des schemas et images
Analyse de documents par upload (un cahier des charges par exemple)

";Regulierement;"Fiches de reference des projets
site internet Thalesgroup
processus 5.1, pour clarifier les attendus des gate/process
retex/post mortem pour clarifier les bonnes pratiques de construction d'offre
";BidGPT,ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),
18;2/17/25 14:42:08;2/17/25 14:42:25;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,
19;2/17/25 14:51:15;2/17/25 14:51:27;anonymous;Non;;;;;;;;;;;;;;;Aucun,
20;2/17/25 14:10:14;2/17/25 15:11:29;anonymous;Oui;Commerce;2;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures ;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);Pour rechercher des informations relatives a nos metiers et clients;;;50% BidGPT (Chat) - 50% Paraphrase;Tres satisfaisante;Forte;Essentiel;"je pense a l'annuaire THALES


";Regulierement;"Integrer les documents administratif pour les consultations (KBIS, Assurances etc)
Nos partenariats passes et partenaires sur les differents marches";BidGPT,ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),
21;2/17/25 15:12:34;2/17/25 15:12:55;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,ChatGPT,Autre (Gemini, Copilot, Grok ou autre),
22;2/17/25 15:16:30;2/17/25 15:22:28;anonymous;Oui;Autre;1;Autre (ex : presentations, etc…);;;;Proposition de table des matieres sur documents de management en version 0 (PMP, PAQ, plans specifiques, ...) identifies dans la RAO mais attendus en version definitive en RL.;100% BidGPT (Chat);Satisfaisante;Forte;Essentiel;Obtenir des formulations de pratiques (des propositions) qui aideraient a l'organisation du futur projet (exemple : OBS/WBS, gestion des R&O, gestion des ressources, ...);De temps en temps ;gestion des ressources;BidGPT,ThalesGPT,
23;2/17/25 15:37:29;2/17/25 15:40:08;anonymous;Oui;PM;2;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);Pour rechercher des informations relatives a nos metiers et clients ?;;;;100% BidGPT (Chat);Satisfaisante;Moyen;Moyen;pas des fonctionnalites mais un elargissement de la base de connaissance sur laquelle se base l'outil;Regulierement;Panorama, references swing, offres de references validees par les BU;BidGPT,ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),
